tay,vietnamese
hắc tao,bẻ ngược lại
hẳm cuổi bấu khát dầư tơ,chặt cây chuối không đứt tơ
hẳm cún,chặt đứt
hằm hằm pây,lăm lăm đi
hẩư,cho
hắp phai tào mương,đắp đập
hắp phai nặm ửng khửn,đắp đập nước dâng lên
hẩư khỏi mưn nâng muối.,cho tôi một tí tẹo muối.
hẩư kỉ bat mạy ạm,nện cho mấy gậy
hẩư mưn nâng,cho một tí tẹo
hẩư mưn nâng.,cho một tí tẹo.
hẩư pây háng,cho đi chợ
hẩư sle câu ngòi,nào
hẩư sle câu ngòi,để tao xem
hẩư tư ấu,ninh cho nhừ
hắp phai tào mương,đào mương
hậm hẩm,gạo hẩm
hắc cáng mạy,bẻ cành cây
cò khấư,khát
cò khấư,khát nước
cò khấư,mong đợi
dọi,nhỏ giọt
dử,nghển
dử boóc,khoảng ba phần tư ống
dử cò quá pha lị,nghển cổ qua bờ rào
dử mo khảu táng,nghển cổ nhìn qua cửa sổ
dụp đăm khảu,tối sầm lại
dử ti tốc ti,nhòm ngó nơi này nơi khác
dộc dạc,lộc ngộc
dồng,chết khô
dọp,chột
dỏn,giật mình
dọp,sút kém
dỏ,chà
dỏ te hết đảy cà rại,chà
dỏ te hết đảy cà rại,nó làm được thật
dỏ ái pây lụ bấu ái pây,chà
dỏ ái pây lụ bấu ái pây,đi hay không muốn đi
dộc,cái rọ
dỏm,dặm
dử,hơn nửa
dử,dốc nhòm ngó
dức dử noọc tu,thập thò ngoài cửa
dức dử,thập thò
dú noọc fạ,ở ngoài trời
dú noọc rườn mì chàn mỏ.,ngoài nhà có sàn phơi.
dú noọc rườn mì luông.,ngoài nhà có sân.
"dú kha bản le pện: cần ké cốc bản tứn hua chùa cón fiệc lăng tố ngai; fiệc lăng toỏng thâng thói cáu, cần ké bấu thông, khỏ hết lai.",việc gì mà động đến tập tục cũ
dấu,ẩm
dấu doạt,ẩm ướt
dấu dụp,ướt sũng
dộc hảng pja,rọ đánh cá
dụp,nhúng
dụp,sầm
dụp doang,thảng thốt
dụp doang,thấp thoáng
dụp dương,lấp ló
dụp dụp,chầm chậm
dụp dụp,sâm sẩm
dộc dộc,xồng xộc
dụp slửa lồng pừn nặm khún,nhúng áo vào chậu nước chàm
dỏm nà,dặm lúa
dỏn,nẩy
e,tương
em không dám lòi ơn cúa noọng.,em không dám lòi ơn của noọng.
fai chạn hăn hâu hết đảy chin le cò pèng,đồ lười thấy người ta làm được ăn thì uất ức
fai fạc,nhễ nhại
fai mầu hết đảy,ngữ mày làm được
fai slúc,đồ súc sinh
fam,phạm
fai,hạng
dự,mua
em ứt,êm ru
dự mu mà táp làng,mua lợn về nuôi tiếp
dốc,chòi
dự rườn lẹo lai ngần,mua nhà hết nhiều tiền
dự sloong cân mằn cát,mua hai cân củ đậu
dự slửa,mua áo
dự ăn nẩy vai chèn,mua cái này phí tiền
dự đảy tua vài mụng chăn tảy chèn,mua được con trâu mộng thật đáng tiền
dựt,sũng
dựt,trĩu
em ứt,bình chân như vại
fai,vãi
fai,vã
fai,ngữ
fa,di
dốc,chọc
dốc khảu xảng,chọc vào bên cạnh
dống,vụt
dống tứn pây,vụt đứng lên đi
dỏm nà,cấy dặm ruộng
dọ cao hin lồng lính,đẩy tảng đá xuống dốc
dửa,quả dứa
dự chúng chá,mua đúng giá
eng,bé
eng,con
eng chí,bé tí
eng nhí,bé bỏng
eng ỉ,bé bỏng
eo,mèo
eo,đĩ
eo,đĩ thõa
en mảo méc,quặn lên như cái mũ đan bằng thân cây mạch
dú léng,ở chỗ riêng
dú lum,ở trong bóng tối
dú khốt,ở chỗ hẻo lánh
dó dó,cần mẫn
dú chang rườn mầư mì bao nhiêu phòng?,trong nhà mày có bao nhiêu phòng?
dú bấu ỏn,ở không yên
dú chang slườn khỏi mì hả cần.,trong nhà tôi có 5 người.
dú,ngoan
dùng doài,lếch thếch
dòn,sướng
dó,một gánh nhẹ
dó dó,chăm chỉ
dó dó,thoăn thoắt
dú khốt,vắng người
dón,bớt lại
dón,dè
dón,vãi
dú,cư xử
dón chin dón dung,bớt tiêu
dót,nhỏ ra
dót,vãi
"dù mì lăng màı, khỏi vằn vằn có nắt cuộc slổng dú bản.","dù có cái gì mới, tôi vẫn thích cuộc sống ở làng."
dú chang rườn mì sloong tua phjạ.,trong nhà có 2 con cá.
dú chang rườn mì kỉ lai phjạ?,trong nhà có bao nhiêu con cá?
dú chang rườn khỏi mì slam phòng.,trong nhà tôi có 3 phòng.
dú chang rườn,ở trong nhà
dương đây,vẻ đẹp
dú tầư,ở đâu
dú trên khau nẩy ngòi slí tồng nà đây lai.,ở trên núi này nhìn khắp cánh đồng đẹp lắm.
dú ti nẩy,ở chỗ này
dú,ở
dú búng pù pài,ở vùng đồi núi
dú bươn,tháng ở cữ
dú bươn,ở cữ
dú bản mầư táng dân tộc slổng xen căn.,ở bản mày các dân tộc sống xen lẫn nhau.
"dú bản mầư, táng dân tộc slổng xen căn.","ở bản mày, các dân tộc sống xen lẫn nhau."
dú bản nẩy mì lai rườn hết nghề cọn lếch.,ở bản này có nhiều nhà làm nghề rèn.
dú bản tẩư,ở bản dưới
dú,sống
dú bấu an,ở không yên
dú bặng bẻ bấu pjoóc,chơi rông như dê không đeo vòng
dú bặng bẻ bấu pjoóc,chơi rông như dê không đeo vòng vào cổ
dú chang hòm nảy là slửa cúa pả để lại.,ở trong hòm này là quần áo của bà để lại.
"dù pền rừ, tết vằn vằn rèo gói bánh chưng.","dù thế nào, tết năm nào cũng phải gói bánh chưng."
dùm,dòa tùm tòa
dùm dùn pện nặm túm toong,lù dù như lá đùm nước
dú slì háng mì lai trò liểu đây mjạc.,ở lễ hội có nhiều trò chơi vui.
dú thành phố ồn ào hơn dú bản.,ở thành phố ồn ào hơn ở làng.
dú ti lai cần phuối rèo diêm pác,chỗ đông người nói năng phải giữ gìn
dú rườn tang bấu dú,ở nhà coi như không ở
dú chang slườn mì sloong tua cáy.,trong nhà có 2 con gà.
dú nảy! ná pây tầư!,ở đây! đừng đi đâu!
dú nưa cạ hẩư pây bộ đội,ở trên bảo cho đi bộ đội
dú chính chang,ở chính giữa
dú chổn hâư,ở chốn nào
dú cải,tự cao
"dú gần khuổi, vằn vằn tỉnh nặm chay.","ở gần suối, ngày nào cũng nghe tiếng nước chảy."
dú huyện mà mì fiệc lăng cẩn pện?,ở huyện về có việc gì cần thế?
dú háng mà khoang khảu rườn pằng dạu,từ chợ về rẽ vào nhà bạn
dú háng tằng náo mì cần khai phjắc,ngoài chợ thường xuyên có người bán rau
dú hâng chắng chắc mốc slẩy đây lụ lại,ở lâu mới biết bụng dạ tốt hay xấu
dú nảy bấu mì sóng điện thoại.,ở đây không có sóng điện thoại.
"dú kha bản le pện: cần ké cốc bản tứn hua chùa cón fiệc lăng tố ngai; fiệc lăng toỏng thâng thói cáu, cần ké bấu thông, khỏ hết lai.",già làng không đồng ý thì khó làm lắm.
"dú kha bản le pện: cần ké cốc bản tứn hua chùa cón fiệc lăng tố ngai; fiệc lăng toỏng thâng thói cáu, cần ké bấu thông, khỏ hết lai.",ở làng thì thế này: già làng đứng ra làm trước thì việc gì cũng dễ
dú thành phố ca này chèn dự đin hết rườn lai quả.,ở thành phố bây giờ tiền đất để làm nhà đắt lắm.
"dú rườn, pí noọng rèo thương điếp căn.","ở nhà, anh chị em phải thương yêu nhau."
dùng,con công
dú rườn đảy boóc oóc noọc đảy chang,trong nhà đầy ống
dùng doài,lôi thôi
dón chin dón dung,bớt ăn
dảu mỏ lồng,bắc nồi xuống
dú chang slườn mì kỉ lai cáy?,trong nhà có bao nhiêu con gà?
dú chang slườn mầư mì bao nhiêu cần?,trong nhà mày có bao nhiêu người?
dú quây rườn,ở xa nhà
dú quây xiên lỉ,ở xa nghìn dặm
dú quảng,dễ dãi
dú quảng,ăn ở rộng
"dú rườn bấu mì fiệc, noọng pây slan sloóc.","ở nhà không có việc, em đi đan lát."
dú rườn mì xe máy pây háng bấu?,ở nhà có xe máy đi chợ không?
"dú rườn ngòi noọng, mí đảy pây liểu nớ?","ở nhà trông em, không được đi chơi đâu nhé!"
"dú rườn pền quai, oóc cai pền vả",ra phố thành dại
dú nẩy,ở đây
"dú rườn pền quai, oóc cai pền vả",ở nhà thành khôn
dú rườn vằn nả nựa mjạn,ở nhà mấy ngày da thịt trắng ra
dú rườn đảy boóc oóc noọc đảy chang,ra ngoài còn nửa
dựt dựt,ròng ròng
e,xem phuối chởm
dại,bên trái
dang pinh,cao su
dau bấu hết đảy,lo lắng không làm được
dau hí,lo lắng
dau xàu,u sầu
deng deng,lẽo đẽo
di,vừa
di chin di phuối,vừa ăn vừa nói
dim,mượn
dim,vay
dang mác mỵ,nhựa quả mít
da thó,thuốc bắc
dang hà,nói nước đôi
dang,nhựa
da mải,bà già góa
da mải đảy tiên cụm,bà góa được tiên phù hộ
da nam,thuốc nam
da non,thuốc sâu
da nẩy lình ính lai,thuốc này hiệu nghiệm lắm
da pua lùa dú bươn,mẹ chồng chăm sóc con dâu ở cữ
dau,lo
dao tai slam,lứa thứ ba
dao nẩy,đợt này
dao cón,chuyến trước
dặng doài,đứng rũ rượi
dặng dú đán mín,đứng ở vách đá cheo leo
dặng dống,đứng sững
dặng dồng,sững sờ
dặng dộc,đứng sừng sững
dặng dộc tó nả cần,đứng sừng sững trước mặt người ta
dặng tinh táng bấu đảy nau lụ lừ dế?,đứng nghe không được hay sao
dặng tẩư lang đỏ phôn,đứng dưới gầm sàn trú mưa
dặng chẳng,đứng thừ người ra
cổm hết chin,mải mê làm ăn
dòi doọc phân đét,lặn lội nắng mưa
dòi doọc,lặn lội
dao,chuyến
dao,hồi
dao,lần
dao,lứa
dao,đợt
da sát khẻo,kem đánh răng
dim chèn hết rườn,vay tiền làm nhà
e,đùn
doi pì chang lọ,xúc mỡ trong lọ
doai khẩu nua,một xúc cơm nếp
doan mao,kinh hãi
doi,chích
doi,khều
doi,nhể
doi,xúc
doi nam,khều gai
doi noong bát,chích mủ nhọt
doan,giật mình
da thỏ,thuốc địa phương
da me,thuốc mê
diếu hết,cố tình làm
diếu,cố ý
diêm cúa cái,giữ gìn của cải
diếc,tước
diếc toong,tước lá
diến,chẳng lẽ
diến,váng
diềm,chê
doai,một xúc
djan,giật mình
diểng,chim yểng
da đúc tắc,thuốc chữa gãy xương
dac le nhẹt ló,đói thì hốc đi
dai,hơi
dai,nguội
dai dấu,nhiệt huyết
dai dấu,sức lực
dan,ghềnh
dang,hương
da tặm,thuốc độc
dim mạc pjạ,mượn con dao
diêm,giữ gìn
diêm,kiêng
diềm,đã nhiều
diềm,đã quá
diềm nọi bấu diềm lai,chê ít không chê nhiều
diền,liền
diền,ngay
dặng,đứng
dặng xảng tàng,đứng bên đường
dặng,dừng
dắc dử,thập thò
dằm,ướp
dằm nựa,ướp thịt
dằng,cân nhắc
dằng,nghĩ
dằng,ngắm
dằng hẩư đây coi hết,nghĩ cho kỹ rồi hãy làm
dắp,lúc
dằng nả,ngắm ná
dắc dáu fiểc rườn,tần tảo việc nhà
dặn lẩu,nghiện rượu
dầu,dầu
dầu mác bao,dầu dọc
dầu tẻm đén,dầu thắp đèn
dầy,chầy
dầy,cái đó đơm cá
dầư doang,lòng thòng
dầư dầư,lôi thôi lếch thếch
dầư tơ,tơ
dắp them coi pây,lúc nữa hãy đi
dắp them coi pây,chốc nữa hãy đi
dắp,chốc lát
dắc khẻo,xỉa răng
e hèm,đằng hắng
e khỉ,đùn cứt
e neo,đái
em,vừa lòng
em,êm
e,phóng uế
dòi phôn,dầm mưa
dọ,đẩy
dỉ cẳm chư lò,có phải vậy đâu
dắc nam chộc kha,nhể gai đâm chân
dắc xảng,cảnh tỉnh
dắc xảng,lưu ý
dắc xảng,nhắc
dắc xảng hẩư chắc mì cần hết lặc,nhắc nhở cho biết có kẻ ăn cắp
dắc điểu,thông điếu
dắm,người trùng tên
dắp,chập
dắc déng,kiễng chân
dầư xao,tơ nhện
dẩu,con dấu
dết,nhỏ giọt
dết dỏi,lã chã
dền,gân
dền mừ,gân tay
dể,ấy
dể xằng ngài nau lo,ấy chưa ăn cơm à
dỉ,đâu phải
dỉ,ồ
dết,rơi
dặc dụp,giặt giũ
dặng xắp hàng,đứng xếp hàng
dặng tẳng ngộc,đứng tênh nghếch
dặm,cấy dặm
dặm,cấy thêm
dặm nà,cấy thêm vào ruộng đã cấy
dặn,nghiện
dặn,thỏa mãn
dặn lao dàng dén,nghiện thuốc phiện
dết dăng,giàn giụa
dẻng,phơi
dậu,lại
dết,chảy
dắc,châm
dắc,cấu nhẹ
dắc,nhể
dắc,thông
dắc,xỉa
dắc dáu,tần tảo
dầư xao khoáy,mạng nhện chằng chịt
dỉ cẳm chư lò,ồ
dặc,giặt
dặc slửa khóa,giặt quần áo
dẻng lồm,phơi gió
dẻng đét,phơi nắng
dế,chế
dế dế,ê ê
dế dế nả mjèm,ê mặt nhọ
dế nỏ,ấy đấy
dế nỏ xằng hết đảy,ấy đấy đâu có làm được
dại,trái
dạc ngòi,khó coi
cò khấư me mà dương,mong đợi mẹ đến thăm
cải luông,đồ sộ
cải ca kếch,to đùng
cải coọc,to đùng
cải cộp,to đùng
cải khoái,mau lớn
cải kếch,to tướng
cải luông,lớn lao
cải luông,to lớn
cảng chằm,xương dăm
cải lầng căn,lớn đều nhau
cảo xảo,làm phiền
cản,cái cán
cản,vội vã
cản lủa,cán mai
cản slíu,chuôi đục
cảng,càng
cảng,x. phuối
cảng,xương
cải làn,rau cải làn
cải,rộng
cảng chá,x. phuối chá
cảng cỏ,nói chuyện
cảo phải,cắp phải
cảng pja cà cò,ăn cá hóc xương
cảng pjẻ,nói ngược
cảng sloai cảng đét,càng trưa càng nắng
cảng tuyện xáu căn slút căm,nói chuyện với nhau suốt đêm
cảng tuyện xáu pú chăn chắc lai thình.,nói chuyện với ông cháu hiểu ra nhiều điều.
cảo,cán
cảng lù,nói bừa phứa
cảo,khoeo chân
cảo,máy ép
cảo,quấn chặt
cảo,ép
cảo nảo,làm phiền
cảo nảo,quấy quả
cảo nẩy hết lừ đếch pây hăn khoan hò sáng thai dú tẳm đi nồng?,thế này thì làm sao mà nhìn thấy ma của thằng sáng ở tận bên tàu?
cảo phải,cán bông
cảo phải,cán bông hạt
cảo,máy cán
cải,lớn
cấp nưa nắm chủn tinh,cấp trên không cho phép
cần hâư,cần tầư
cần chạn,người lười
cấu,cầu
cấu khảm ta,bắc cầu qua sông
cấu tắc,cầu gẫy
cần,người
cần au pây phjêng phom,người ta lấy đi mất tích
cần bưởng noọc,người ngoài
cần bả mướng,người dở hơi
cần bả slâư,người dại dột
cần bẩư,người khờ khạo
cần chửng rương,người có tính dễ dãi
cần cam lai cần cam nọi,người thì nhiều người thì ít
cần cao bằng điếp khách lai.,người cao bằng rất mến khách.
cần cao bằng điếp khách mí điếp?,người cao bằng mến khách không mến khách?
"cần chài tự va kim, cần nhình tự bjoóc ngần",nữ tựa hoa bạc. nam tựa hoa vàng
"cần chài tự va kim, cần nhình tự bjoóc ngần.","nam tựa hoa vàng, nữ tựa hoa tiền."
"cần chài tự va kim, cần nhình tự bjoóc ngần. phùa mìa bặng tôi thú soong kha. nả muồn pâu bẳng hai slip hả. vặc viền phông nả đán nàn chày tua gần mốc sẩy đây nàn.","nam tựa hoa vàng, nữ tựa hoa tiền. vợ chồng như đũa hai chân. mặt tròn như ánh trăng rằm. hoa vặc phiền nở vách đá khó trồng, con người tốt bụng ít gặp."
cần cháng,người choang
cần chướng đảy hạy mí bốc nặm.,cần bảo vệ để không cạn nước.
cần chướng đảy hạy mí thai la.,cần bảo vệ để không bị dịch bệnh.
cần chạn le cần ái chin dạu bấu ái hết,người lười là người muốn ăn lại không muốn làm
cảo ỏi,ép mía
"cần dùng lai, chắng chắc phuối.","cần dùng nhiều, mới biết nói."
cần cuôn,người độc thân
cần cáo,người khốn khổ
cần cò,người tốt bụng
cần cò loai mì lăng tố păn hẩư hâu,có gì cũng chia sẻ với mọi người
cần cò loai mì lăng tố păn hẩư hâu,người rộng rãi
cần cải,người lớn
cần cải tọ slim bấu cải,người lớn nhưng chí không lớn
cần chắc lai slư sla,người biết lắm chữ nghĩa
cần déo,người dong dỏng
cần dú hiến,người hiền lành
cần dú mường luâ_y có nắt khẩu lam.,người dưới xuôi thích ăn cơm lam.
cần dú slảnh,người thành phố
cần dú xỏ rọ hâư,người ở xó xỉnh nào
cần dặng xắp,mọi người đứng cả ra
"cần eng pện câu, ai điếp?","người nghèo như tao, ai yêu?"
cần hâu lẩu pện lừ dè?,người ta nói như thế nào?
"cần hâu quá bản hon, cùng ái dú nòm slắc cẳm, tình cọn pẳn tang đai, khúy vài tang xe tảp",ai đi quan bản hon cũng muốn dừng ngủ lại một đêm. nghe tiếng cọn như tiếng đài
cảng pja,xương cá
cảng mjay,nói lái
căm phjắc,bó rau
cò cặt,nghẹn ngào
cò,đây
cò ai,x. cò niêng
cò au châư mẹp mẹp,cổ thở phập phồng
cò chứ,lòng nhớ
cò hỏi mừa dương po óc,mong mỏi về thăm cha
cò cuồi,lòng ngưỡng mộ
cò cặt,ghen tức
cò cặt,gắt gỏng
cò cặt,nghẹn ở cổ
căm phjôm slặc lồng tó đin,túm tóc dằn đầu xuống đất
cò hán,cổ ngỗng
cò hép,khản cổ
cò hỏi,lo lắng
cò hỏi,mong mỏi
cò cặp,sưng a mi đan
căm nẩy,tối nay
cò mí phuối đảy,nghẹn ngào không nói được
cò ngheng le tầư piên,bướng quá thì bị đòn
cò,tốt bụng
cò,lòng
cò,hống
cò,chào gáy
cò kè,khó tính
cò kè,khóc nhè
cò kè,ốm lửng
cò kheng,cứng cổ
cò kíu,cổ thắt hẹp lại
cò loải,phóng khoáng
cò luồng,khe hẹp ở thung lũng
cò luồng,đầu ghềnh
cò luồng nặm xóc,đầu ghềnh nước chảy xiết
cò lồng,thỏa mãn
cò lồng,vừa lòng
cò mu,gáy lợn
cò mì bắc,cổ có nếp nhăn
cò loai,rộng rãi
cò mì thắn,cổ có ngấn
cò kheng,bướng
cò hỏi lục đảy pền cần,lo lắng cho con lớn lên thành người
có,nhóm
có,thiết
có,thuê
cò pèng,ganh tỵ
cò pết kheo xinh,cổ vịt xanh biếc
cò rì,cổ dài
cò ón,vừa lòng
cò đửn,gáy
còi,triền núi
có,khởi đầu
còi khau cưởm,triền núi cây trám
còn,lung lay
còn,một bên gánh
còn,quả còn
còn,tha
còn chậu khẩu mà rườn,gồng dậu thóc về nhà
còn cạng,mất thăng bằng
còn khẩu,nửa gánh thóc
có,anh
còn,gồng
căm nựa ma,kiêng thịt chó
cò pèng,uất ức
cò nhằm mừa dương rườn,mong muốn về thăm quê
có,x. pỏi
có,cây dẻ
có cần tẳng rườn,thuê người dựng nhà
có hết chang lếch,lập nghiệp rèn
"có nắt cần tầư, rèo phuối thẳng vạ po me.","thích ai, phải nói thẳng với bố mẹ."
có phầy,nhóm lửa
có,mướn
có pây hâư,anh đi đâu
cón,xưa
cón,đã
"cón hết, pả nướng pja. tẻo lẹo, pả hất canh măng.","đầu tiên, bác nướng cá. sau đó, bác nấu canh măng."
cón lăng,trước sau
cóoc vài,sừng trâu
cóp,bốc
cóp,vốc tay
cóp khẩu slan nâng,một vốc gạo
cón,trước
cò mừ,cổ tay
có,lập nghiệp
"cần bặng mật, slủng nhộn bặng fùn","người đông như kiến, súng dầy như củi"
"cả ựt cả ạt, bặng ca pát hó toong",ấp a ấp úng như nhái bén ở trong gói lá
dạc,nước nhỏ giọt
dú tốc tẩư,ở chỗ thấp hơn
dút,rút
dút,ngừng
"dú đại học, pí slon tiếng anh rụ tiếng pháp?","ở đại học, chị học tiếng anh hay tiếng pháp?"
dú tẩư tảy,ở dưới đáy
dú tềnh bẩu,ở trên đầu
dú tềnh chông,trên đỉnh đèo
dú tỉ,ở chỗ ấy
dú tỉnh hua,ở trên đỉnh đầu
dú việt nam mì lai dân tộc.,ở việt nam có nhiều dân tộc.
"dú đại học, ché slon tiểng anh rụ tiểng pháp?","học đại học, chị học tiếng anh hay tiếng pháp?"
dú đai,ngồi không
dương,thăm
dú đai,ở cữ
"dú đai dú đoóc, bặng bẻ bấu pjoóc",ở dưng một thân như dê không đeo vòng
"dú đin rầu mạ tậc, tốc đin hâu mạ mẻ",đến đất người ngựa cái
"dú đin rầu mạ tậc, tốc đin hâu mạ mẻ",ở đất mình ngựa đực
dú đây,sống tốt
dú đây xáu pi noọng,sống tốt với mọi người
dút dú,chần chừ
dương,mà xem ra
dương,dáng vẻ
dăng,trả lời
câư,sưng
cổm hua pây,cúi đầu mà đi
cổm ngóm ngóm,cúi lom khom
dút dú,lù rù
dút dú,thập thò
dút dú bấu đi au,chần chừ không dám lấy
dăm,chìm
dăm,giấu
dăm,nặng
dăm,ỉm đi
dăm doan,chưa khô
dăm doan,chột dạ
dăm doan,hơi sợ
dăm dón,bớt xén
dăm lồng nặm,chìm xuống nước
dăng,bằng lòng
dăng,thưa
"dú đông pá mì lai tua slưa bấu, pú?","trong rừng có nhiều hổ không, ông?"
"dú đại học, ché slon tiểng anh, tiểng pháp rụ tiểng đức?","học đại học chị học tiếng anh, tiếng pháp hay tiếng đức?"
cả này tại pi noọng lầu bấu chướng đảy đông mạy kha khuổi nẩy chắng bát bốc bảt noòng thuổm tông nà.,lụt lội khắp đồng.
dương rừ,cách nào
dảo,gọi
dú tẩư kị,dưới đáy
"dạo nảy, cần chang bản lai cần bị ho lai.","dạo này, người trong làng nhiều người bị ho lắm."
dạm dẹ,bồi
dương dử thâng căn,thăm hỏi tới nhau
dương hâư,thế nào
dương hâư pền,thành ra thế nào
dương lăng,thứ gì
dương slướng,tướng mạo
dú đai bặng bẻ bấu pjoóc,rong chơi như dê không buộc tròng
dương slướng đây báo,tướng mạo đẹp trai
dương te bấu hết đảy,xem ra nó không làm nổi
dạm dẹ hẩư kỉ bát,đánh bồi thêm cho mấy phát
dương tự minh hết khươi vuồng sloong pày,dương tự minh làm rể vua hai lần
dường slì,thường xuyên
dường slì tảy nai slon,thường xuyên chịu khó học
dượng mừ,giơ tay
dạc,chướng mắt
dảu mỏ khửn kiềng,nhấc nồi lên kiềng
dảu khửn cấp nưa,cất nhắc lên cấp trên
dảu,nhấc
dảu,bắc
dương cần pền khẩy,thăm người ốm
dương dử,thăm hỏi
dương dử,thăm nom
dạu,vừa
dả,bà
dả,bà nội
dả chà,chà
dả dăm,puồng pu
dả mải khỏ bấu cầư táy.,bà goá nghèo không ai bằng.
dả sựa,bà cụ
dảng,dẻng
dạu,lại
dảng,sáp ong
dảo,kho
dảo,vựa
dảo khẩu,vựa thóc
dảo khẩu pjấu lứng,vựa thóc trống không
cạ,là
"cạ bấu đảy pây liêu lai, chái tẻo nhằng pây tức tỏ",bảo không được đi chơi nhiều quá
cạ bấu đảy pây liêu lai,bảo không được đi chơi nhiều quá
căm đăm,đêm tối
cơi,mjầu cơi trầu
căm phjắc,nắm rau
căm pjục,tối mai
căm quền,nắm đấm
căm tang me,để tang mẹ
căm tang slam khuốp,để tang ba năm
căm tẳng,nắm tay
căm tệnh,căm quền
cơn cở lăng,cơn cớ gì
"cạ bấu tinh, bảt nẩy hăn phi xằng",nói không nghe
căm đắp,đêm cuối tháng
căn au,lấy nhau
căng,con vượn
căp,bắt
căp,chật
căp,hẹp
căp,nhét chật chội
căp mèng quang,bắt chuồn chuồn
cưa,cái cưa
"cườn văn, cần lo tải nhân dân. đắp văn phầy toả bản đẳm thì.","tối ngày, người lo cho dân chúng. tất khói lửa toả trời đen tối."
"cườn văn, cần lo tải nhân dân.","tối ngày, người chăm lo cho nhân dân."
"cườn văn, cần lo tải nhân dân. đắp văn phầy toả bản đẳm thì.","tối ngày, người gánh vác cho nhân dân. tất khói lửa toả trời đen tối."
cưa,muối ăn
cươm khẩu,nấu cơm
cương,bộ khung
cương,cái gương
cương,dáng
cương,khổ
cương rườn,khung nhà
cương téng ngòi nả,gương soi mặt
cưa,muối
cười vỉ nẳm thâng me nhình chứ lăng.,cười vì nghĩ đến vợ chứ gì.
"cườn văn, cần lo tải nhân dân.","tối ngày, người gánh vác cho nhân dân."
"cườn văn, cần lo tải nhân dân.","tối ngày, người lo cho dân chúng."
"cườn văn, cần lo tải nhân dân.","tối ngày, người lo cho người dân."
"cườn văn, cần lo tải nhân dân.","tối ngày, người lo cho đồng bào."
"cườn văn, cần lo tải nhân dân.","tối ngày, người lo toan cho nhân dân."
"cườn văn, cần lo tải nhân dân.","tối ngày, người trăn trở cho nhân dân."
"cườn văn, cần lo tải nhân dân. đắp văn phầy toả bản đẳm thì.","tối ngày, người chăm lo cho nhân dân. tất khói lửa toả trời đen tối."
cũn bờn põy bờn mà rày rạy,cũn bay đi bay về vũi vọi
căn,nhau
cả này tại pi noọng lầu bấu chướng đảy đông mạy kha khuổi nẩy chắng bát bốc bảt noòng thuổm tông nà.,nên mới lúc dâng cao
cạu,vỏ rễ ăn trầu
cạ nắm tinh hả,bảo không nghe hả
"cạ bấu đảy pây liêu lai, chái tẻo nhằng pây tức tỏ",trái lại nó còn đi đánh bạc
"cườn văn, cần lo tải nhân dân. đắp văn phầy toả bản đẳm thì.","tối ngày, người lo toan cho nhân dân. tất khói lửa toả trời đen tối."
"cườn văn, cần lo tải nhân dân. đắp văn phầy toả bản đẳm thì.","tối ngày, người trăn trở cho nhân dân. tất khói lửa toả trời đen tối."
cường lai,"gan dạ, gan lì"
cưởm,cây trám trắng
cưởng,cái ô
cượn,trợn
cượn mjạp,trợn trừng
cạ,bảo
cạ dá tọ te chai lơ,đã bảo rồi nhưng nó cứ tảng lờ đi
cạ,cứ bảo ban
cạ bấu tinh le pja lay,bảo không nghe thì bị đánh roi
cạ bấu tinh lộm kha tắc chắng sloáng,bảo không nghe ngã gãy chân mới đáng đời
cạ bấu tinh men lộm câu hăn tháu,bảo không nghe
cạ bấu tinh men lộm câu hăn tháu,bị ngã tao thấy sướng
"cạ bấu tinh, bảt nẩy hăn phi xằng",bây giờ gay go chưa
"cườn văn, cần lo tải nhân dân. đắp văn phầy toả bản đẳm thì.","tối ngày, người lo cho nhân dân. tất khói lửa toả trời đen tối."
cả này tại pi noọng lầu bấu chướng đảy đông mạy kha khuổi nẩy chắng bát bốc bảt noòng thuổm tông nà.,lúc cạn kiệt
"cườn văn, cần lo tải nhân dân. đắp văn phầy toả bản đẳm thì.","tối ngày, người lo cho người dân. tất khói lửa toả trời đen tối."
cả này tại pi noọng lầu bấu chướng đảy đông mạy kha khuổi nẩy chắng bát bốc bảt noòng thuổm tông nà.,do bà con ta không giữ được cây rừng ở ven suối
"cườn văn, cần lo tải nhân dân. đắp văn phầy toả bản đẳm thì.","tối ngày, người lo cho đồng bào. tất khói lửa toả trời đen tối."
cạ pây chích pây,cần đi thì nhất quyết đi
cạ pện á?,nói thế à?
cạ tinh,vâng lời
cạm,cửa ngõ
cạn,nghẹn
cạp kha,bẹn
cạt,chim dẻ cùi
cạu,con cú mèo
cạ nắm tinh thai mì făn,bảo không nghe chết có ngày
cạu,cậu (em trai mẹ)
cạy,banh ra
cạy,mở ra
cạy,vã ra
cạy,đổ ra
cạy phưởng nặm pây,đổ vại nước đi
cả này tại pi noọng lầu bấu chướng đảy đông mạy kha khuổi nẩy chắng bát bốc bảt noòng thuổm tông nà.,bây giờ
hăm pú,bị bệnh sa đì
hăn bươn,hành kinh
hăn hâu phuối mốc ẩy bấu đảy fèn fôm,thấy người ta nói
hò nẩy tức pja mí po.,thằng này câu cá với bố.
"hò nẩy mừ rì, cẩn thận vạ.","thằng này hay ăn cắp vặt, cẩn thận vào."
hò nẩy nàn vi khay tha chin cúa cần,thằng này nhẫn tâm ăn của người ta trắng trợn
